ngiemboon,en
"Yěe! Awɔɔn mbà mé kéen ńgwáʼa Yelúzálèm,","How   she sits alone,  # 1:1 Lm 3:28"
"Yelúzálèm cʉʼʉ́ ńdáʼa paletsẅɛ́ʼ ńdʉa lʉa,","She weeps bitterly during the night,  "
"Megàŋmbù kéen ńgwoon pʉ̀a Yúndà, ńdɔg fó tsɛ̀ɛ láʼ ńgʉa,",Judah has gone into exile
"Memánzsè mie é gee né Siyoŋ,","The roads to Zion    mourn,"
"Epʉ̀a pie pâ pɔ̌ ka ne ńdÿɔ́ʼɔ, é ka tʉ ńcʉa yé;",Her adversaries have become her masters;  
Atÿǒsoŋo Siyoŋ gyá páʼ,All the splendor   has vanished
"Yelúzálèm gwɔ́ tsɛ̀ɛ cʉanò yé,",During the days of her affliction and homelessness  
Yelúzálèm ka gÿo mentʉ̀ menò tepòŋ.,Jerusalem has sinned grievously;
Epʉ̀a metsèm gyá liŋé ncÿǒ na yé.,Her uncleanness stains her skirts.  
Megàŋmbù kéen ḿbú ńkaa shúm fùʼ Yelúzálèm.,The adversary has seized
"Epʉ̀a láʼ pé ntsèm ne ńzẅii,",All her people groan
"Pi metsèm pie pi ne ńcʉa jʉʼɔɔn,","Is this nothing to you, all you who pass by?  "
"À ně fó tàa tÿǒ, ńtúm mmɔ̌g,",He sent fire from on high   into my bones;
"À cwoŋo ńne ńgyá melɔ̌ʼ mɔ́ɔn,","My transgressions have been formed into a yoke,  ,# 1:14 Or The yoke of my transgressions is bound; Hb obscure,# 1:14 Gn 27:40; Lv 26:13; Dt 28:48; 2Ch 10:3–11; Is 9:4; Jr 27:2,6–11"
"Cʉ̀apʉ̀a ka lɔg ngwág, ńtág palÿɔ́ʼncù pɔ́ɔn pie ée patántʉ̀,",The Lord has rejected  
"Yɔɔn áa mmó gie á gÿo n dʉa,",I weep because of these things;
" Siyoŋ ne ńtsíŋe mbwó,",Zion stretches out her hands;
"Cʉ̀apʉ̀a ka gẅiin légÿo páʼɔɔn na mèŋ,","The Lord is just,"
"N ka tóŋ pʉ̀a pie é kɔ̌ɔn ńkwoŋo wɔ́ɔn,","I called to my lovers,  "
"Cʉ̀apʉ̀a, líe cʉanò yɔ́ɔn!"," Lord, see how I am in distress."
Mé ne ńjúʼu páʼ n zẅii:,"People have heard me groaning,  "
"Cwoŋo ńdíe fʉ̌ʼnò sɔ́b,","Let all their wickedness come before you,"
