ngiemboon,en
"Míŋ wɔ̀ɔn wembàŋa, tʉ́ŋe tuŋó ńzẅíʼte meshwóŋè zsénò mɔ́ɔn; júʼ meshwóŋè mie legye sɔ́ɔn náa mbwó gù. ","My son, pay attention to my wisdom;"
"Ńzsé ngie ɔ̀ ge gwaa gÿo kɔ́ wɔ́ɔ, ésáŋa nò mǒ; é piŋ lɔg mekùb ncwò mú, é gɔɔn mmó gie ɔ̀ ka ziʼí. ",so that you may maintain discretion
"Meshwóŋè manzwě gẅie à te gù wɔ́, é lʉ́m páʼ nŋwáʼ, ḿbiŋ ḿbʉ́le páʼ mevɛ́ la. ",Though the lips of the forbidden woman drip honey
"Á cʉ́ʼ nzsòzsò, à cʉ́ʼ ńgwɔ́ pɔ́ páʼ lelaŋ ndẅe lẅe, ḿbiŋ sɔbɔ gú páʼ nně mengʉ́ŋ mémbʉ́a. ",in the end she’s as bitter as wormwood  
"Mánzsè gẅie à ne ńdɔgɔ pʉ̀a ńgiŋe mǒ, à tsege wɔ́b mbwó legwé, à ne ńdɔgɔ pʉ̀a ńgee né tsɛ̀ɛ lesyè. ",Her feet go down to death;
"À te kwaŋa nò lépfó na mánzsè letsẅɛ́ wɔ́; mánzsè gẅie à pfó mǒ, à lɔgɔ yé ńgʉa ńkúu pyé, á piŋ te ne ńzsé wɔ́. ",She doesn’t consider the path of life;
"Púʼu la, egubé yɔ́ɔn yembàŋa, pi júʼ ncwò wɔ́ɔn; tà pi gwáʼ meshwóŋè mie é kẅɛɛ ncwò mèŋ. ","So now, sons, listen to me,"
"Pi zyɛ́ʼ ye ńgʉa shʉ̀shʉ̀a, á na jʉʼ gie mbʉ̀a ye ee wó; pi pɔ́ɔn le kweente ye ncwò mbuʼ yé. ",Keep your way far from her.
Ḿbɔ́g páʼ ngwɔ́ ɔ̀ cʉŋte mekùʼ mú mvfò pʉ̀a mendyɛ̀ʼɛ; é náa twó jú mbwó ndǔm manzwě ŋwɛ́ gẅie à te tsɔ́ɔn mezìŋe mú wɔ́. ,"Otherwise, you will give up your vitality to others"
"Ḿbɔ́g páʼ ńgwɔ́ pʉ̀a mendyɛ̀ʼɛ zɔ̌ cʉ́ʼ ńjÿó jú fùʼ; ammó gie ɔ̀ la tʉ́ŋe zìʼi mǒ tá ńgẅiin, á cʉ́ʼʉ ye nyìŋ ndyɛ̀ʼɛ. ","strangers will drain your resources,"
"Á cʉ́ʼ nzsòzsò, ɔ̀ zye létsẅi; mbab nnɛ́ jù kwé. ","At the end of your life, you will lament"
Ɔ̀ gɔɔn ngie: «wáayeen! Ńtí kɔ́ n da te zẅíʼte mmó gie mé la ne ńzíʼi wɔ́ɔn mɔ́? Ńtí kɔ́ n da gwáʼ mentÿɔgɔ́? ,"and you will say, “How I hated discipline,"
Ńtí kɔ́ n da te júʼ mentÿɔgɔ́ patsyeen wɔ́ɔn mɔ́ɔ? Ńtí kɔ́ n da te tʉ́ŋe tuŋó ńzẅíʼte mmó mbwó pʉ̀a pie é la ne ńzíʼi wɔ́ɔn mɔ́ɔ? ,I didn’t obey my teachers
"Á la cʉ́ʼʉ mejʉʼ, n gwe tsɛ̀ɛ máa ngɔ́ʼ; ńcʉŋte wɔ̀ɔn legwɔ́ mvfò pʉ̀a tà ńgyɔ́ɔn.»",I am on the verge of complete ruin
"Gẅiin pyennɛ́ á nzèm nzwě gù; à gwɔ́ páʼ shú lesaʼá ntse sie ɔ̀ ge néŋe é núu, mbùm jù poŋ. ","Drink water from your own cistern,"
Te nyé ntse gú é pfɛte metwó nzsè; ésa jʉʼ á mángyɛ̌. ,"Should your springs flow in the streets,"
Gẅiin pyennɛ́ á nzèm nzwě gù; tà pi lâ tsɔ́ panzwě ndyɛ̀ʼɛ nuŋe. ,They should be for you alone
Á poŋ ngie Cʉ̀apʉ̀a gÿo pɔ́ nò mbòŋo na manzwě gẅie aa páʼ shú lesaʼá ntse; júʼ mboŋó na manzwě gẅie pi yé gwɔ̌ tà fó fʉ̀ʼʉ ngwàshùm. ,"Let your fountain be blessed,"
"À gẅiin nkwòŋe tɛʼ páʼ ye tsẅénɔ̀ɔn, ésí páʼ nɔ̀ɔnngáb. Á poŋ ngie tɔ̌ɔn lepʉ́ yé, à náa lekág mbwó gù, nkwòŋe ye néŋe pʉ̀a twó gù. ","A loving deer, a graceful doe    —"
"Míŋ wɔ̀ɔn wembàŋa, ngwɔ́ kɔ́ gíŋe ḿboŋo gú na nzwě nyìŋ tà pi yé nuŋe? Ńtí kɔ́ ɔ̀ ge gʉa jÿɔ́ʼɔ twó jú na tɔ̌ɔn lepʉ́ manzwě ndyɛ̀ʼɛ? ","Why, my son, would you lose yourself"
Cʉ̀apʉ̀a ne ńzsé megiŋé pʉ̀a mesoŋ; à gyá kɔ̀ɔkɔ́ɔ wɔ́ɔ gie pɔ́ gÿo. ,"For a man’s ways are before the  Lord’s eyes,  "
Nyìŋ tepòŋ gwe na mekÿo mie éfóo na ngÿǒ menò mé; menò tepòŋ mé kwɛ́ɛ yé páʼ nkenkÿo la. ,A wicked man’s iniquities will trap him;  
À ge gÿo kwé mélàʼmie mé la te zíʼi yé mmó wɔ́; à ge gÿo kúu pyé ńtí páʼ anò gʉ̀gʉ̀ yé zɔ̌ tsege yé.,"He will die because there is no discipline,  "
