en,ngiemboon
ńzébe,stack
ńgwete,stagger
ńgÿɛ́te,stagger
ńgʉ́ŋte,stagger
ńtéŋte,stagger
ńgÿéente,stagger
lÿɔgɔ,staggering
cʉŋ nzẅìŋ,stain
pǎb,stain
ńcÿɔʼ,"stain, make"
ńtyɛ́,"stains, remove all"
mesètɔ̂b,staircase
mesètɔ̂b,stairs
lepwó,stake
ésɔbte,stake out
kwɔ̀ʼ,"stalk, banana"
kwɔ̀ʼ,"stalk, corn"
kwòŋ,"stalk, corn"
ngesáŋ ffòffò,"stalk, corn"
kwòŋ,"stalk, maize"
ngesáŋ ffòffò,"stalk, maize"
ngesáŋ ffòffò,stalk without ear
sàŋte,stall-holder
ńdébe,stammer
mbùbte,stammerer
ngàŋ mbùbte,stammerer
ésóon,stamp
ńtíle ńzyɛ́ʼ,"stamping, cross without"
tsẅǐd,"stamping, sound"
ńtyé,stand
kwó,standard-winged nightjar
tèŋe zẅɛʼ,"standing, difficulty"
ńtÿéen,stand out
ńtyéte,stand up
