en,ngiemboon
ngwè,Casanova
nénɔgɔ́,"case letter, lower"
kékɔ́gɔ menÿɔ́g,"case letter, lower"
tsìŋe nò,"case, merits"
kʉ̌b,casket
kùb,casket
ncùashùm,cassava 
kasálà,cassava 
nzab meffo kasálà,cassava leaves
kasálà pepàŋ,"cassava, sp. red"
ncùashùm pepàŋ,"cassava, sp. red"
kasálà féfɔ́gɔ,"cassava, sp. white"
ncùashùm féfɔ́gɔ,"cassava, sp. white"
kʉ́ŋelʉ́ŋlʉ́ŋ,"casserole hitting floor, sound"
pùb,"casserole lid on sand, sound"
leshʉŋ,castor oil plant
éshʉ́,castrate
sà,catapult
vɛ̀,cat become wild
nɔ̀ɔn nŋʉ́,"cat, bush"
ésẅɛb,catch
ḿbyɛ́ʼte,catch
ńtɔ́ɔn,catch by the foot
ńtɔ́ɔn,catch by the hand
ńjÿóte,"catching off guard, trick"
ńkɔ́ɔnte,catch in palm of hand
ńzáʼte,"catch, search"
méneŋ nzáŋ,"cat, domestic"
menyě ntsɔ́ɔn,"cat, domestic"
púusè,"cat, domestic"
nkwálà,catechism
lʉ̀a,category
cʉ̀cÿɔ̀gɔ kaafé,caterpillar eats coffee leaves
