en,ngiemboon
lekwɔɔn,token
feláŋ,tokens
tòmátè,tomato
ndÿoon,tomb
lesyè,tomb
lesẅì,tomb
mvwɔ̀ʼte,tomb
jǔɔ nzèm,tomorrow
jǔɔ gẅie à ne ntóo,tomorrow
jǔɔ,tomorrow
wetsɔ̌ júɔ,"tomorrow, day after"
ge gÿo,tomorrow future
lu,tomorrow future
ńdu,tomorrow future
ge lu,tomorrow future
gÿo,tomorrow future
à cʉ́ʼ mbaʼámbaʼ,"tomorrow morning, see you"
à cʉ́ʼ jǔɔ,"tomorrow, see you"
ńkẅi,"tom-tom, try"
ńkẅite,"tom-tom, try"
ntsɔ̀ʼ,tone
lʉ́m,tongue
ḿbúʼ ncwò,"tongue, click"
shwóŋè láʼ,"tongue, mother"
ntswaʼá,tontine
yɔ́ɔn,too
shúm fàʼ,tool
kwɔ̀gɔ,tool cutting banana leaves
ngʉ́ŋ,"tool, cutting edge"
lekwág,"tool, k. sculpting"
tétáŋ mmɔ̌g,"tool, sculptor’s"
tétáŋ ndyèente,"tool, toy"
séság,too much
légʉ́a,too much
ésẅaga,"too much water, have"
lesoŋ,tooth
