en,ngiemboon
mánzsèlʉŋ,yam beetle
ńtʉa,"yam, burnt"
ndù,"yam, end"
júʼ,yam 
cÿɔ̀gɔ,"yam, hardened"
ndù,"yam seed, sweet"
letúʼ,"yam, sp. aerial"
letúʼ métsẅè,"yam, sp. aerial"
pepàŋ letúʼ,"yam, sp. aerial"
cúa,"yam, sp. West African"
júʼu féfɔ́gɔ,"yam, sp. West African"
júʼu kwéʼe tÿǒ,"yam, sp. West African"
pÿɛ̀,"yam, sp. West African"
júʼu sẅìŋ,"yam, sp. West African"
júʼu ngwá,"yam, sp. West African"
júʼu zigé,"yam, sp. West African"
zigé,"yam, sp. yellow"
lelÿɔʼ,"yam, sp. yellow"
tòonngàŋ,"yam, sp. yellow"
shwóŋò pʉa shÿó Mbafia,Yangben language
ngálè,yard
tetʉ́a,yard
ńzyág,yawn
kwɔ̀g mekẅǐ,yaws
ngùʼ,year
ngùʼ,yearly
fʉ̀ʼ páʼɔɔn,"year, next"
mvòŋ,yeast
ngʉngʉ́ŋe kwɔb,yefen
ńdíʼ,yell
zigé,"yellow yam, sp."
lelÿɔʼ,"yellow yam, sp."
tòonngàŋ,"yellow yam, sp."
shwóŋò Tsaŋ,Yemba language
éen héen,yes ...
óo,yes
oon,yes
woo,yes
oon,yes
mmoon,yes
Mbɛ̀ɛ,yes 
zẅíŋ zẅiŋ,yes-men
