en,ngiemboon
njÿɔ́g,drudgery
nzîɛ,drug
jÿòŋ,drug
ńjÿoŋ,drug
lɔ̀b,drug
ffo lelɔ́g,"drug, sleeping"
njÿòŋo,drug user
sèm,drum 
làmbì,"drum, hourglass"
múɔ sèm,"drum, k. cylindrical"
ndÿɔ̀g,"drum, k. large"
máa sèm,"drum, k. large vertical"
máa nkà,"drum, k. large vertical"
nkà,"drum, k. squat cylindrical"
ntÿɔ́ʼ,"drum, k. very large"
nkà,"drumsticks, hit with two"
mbí melùʼ,drunk
píme melùʼ,drunk
núnú melùʼ,drunkard
píme melùʼ,drunkenness
ḿbím,"drunk, get"
ńzẅi,dry
ńjúmte,dry
ńtsíʼi,dry
ńtɔg,dry
ḿbeen,dry
ńjéen,dry
ńtse,dry
ésaŋte,dry
ńtsẅíte,dry
ńjúm,dry
ńtíɛ,dry
jùbe,dry
jùmo,dry
ńjúmte,"dry, become"
ńkẅíʼ,"dry, be completely"
ńjúbe,"dry, be very"
kàlàngá,dryer
legwaʼá,dryer
ńjúmte,dry out
ńtaŋte,dry out
ńtẅi,dry out halfway
ńtẅi,"dry out, heat up to"
lùm,dry season
