en,ngiemboon
ńkʉ́bte,"groundnuts, shell some"
máfǒmantʉ́m,"groundnut, three grains"
máfǒsɔb,"groundnut, three grains"
tsìtsì,groundnut waste
tsyâg,"ground, ripe fruit falling"
ńkite,"ground, roll on"
ńkele ssé,"ground, roll on"
ncÿɔ̀b,"ground, sacred"
ffo ssé,"ground, sacrificial"
ńnóŋo,"ground, tremble"
kùmbàaně,group
manzòŋ,group
nùa,group
nùɔ,group
manzòŋ,"group, age"
kwò nkàŋ,"group, age"
shʉ́ʼ,"group, communal help"
ńŋáŋte,group together
ńgúʼte,grow
éshʉ́a,grow
ésáʼ,grow
ńgaʼ,grow
éshʉ́ate,grow
ńgáʼte,grow
ńgúʼ,grow
ndʉ̀ŋ nkʉ̌a,"grower, wine"
ndʉ̀ŋ melùʼ,"grower, wine"
ndèŋ nkʉ̌a,"grower, wine"
ńtsẅete,"growing, start"
ḿpfo ngyè,growl
ńcÿɔ́g,growl
ńdyɛʼte,growl
ńgúʼte,"grown, is"
ńzẅiŋ,grow old
legúʼ,growth
ńtuʼ,"growth, lose"
tɔ̌g,growth of the stomach
kwɛ̀te,grudge
lekwɔɔn,grudge
mbù,grudge
ésẅile,"grudge against, have"
ńzáʼ nkwɔɔn,"grudge, have"
ńzáʼa kwɛ̀te,"grudge, keep"
