en,ngiemboon
tsìŋe lekyé,ether filter
kàletúsè,eucalyptus
ńkÿo tsǎŋ,evade
ńdémte,evaporate
ndilétáŋ,evasion
mbɔɔ né,even
mbǎ,even
mbɔ̌,"even, and"
mbɔɔ,"even, and"
ncwònzém,evening
mbɔɔ púʼu,even like that
ḿmeen,even so
ńtsɛ,even so
ɛ̂ɛ,"event, displeasing"
ɛ̌ ɛ̌,"event, displeasing"
ńdɔgɔ púʼu,"event, from this"
káʼa,even though
ńgwɔ́ gie,"ever, if"
mâwɔ̌wɔ́ɔ,everyone
mânyìŋ ntsèm,everyone
kɔ̀ɔkɔ́ɔ,everything
tepòŋ,evil
yetepòŋ,evil
máfɔ̌b metyé,evil person
máfɛ̌ metyé,evil person
ńkím,evoke
ńzí,evolve
ńzyéente,evolve
ńgáʼte,evolve
ńtsíŋte,evolve
ńgáʼ,evolve
ńzyéen,evolve
shwóŋò pʉa Yɔɔnmendi,Ewondo language
púʼu,exact
éfʉʼ,exaggerate
ńzyɛ́ʼ ntsẅɛ,exaggerate
lʉ̀ŋte,exam
tɔ́ɔntè,exam
lèŋte,exam
lʉ̀ŋte,examination
lèŋte,examination
