en,ngiemboon
gegàŋa nkèsàŋ,redweed
kekàʼa,reed
shʉ̀ŋ,"reed basket, k."
féfɔ́gɔ ncùm,"reef egret, Western"
ńgwete,reel
ńgÿɛ́te,reel
ńgʉ́ŋte,reel
ńtéŋte,reel
ńgÿéente,reel
lÿɔgɔ,reeling
ḿbaʼte,reflect
ńkaʼ,reflect
kwàŋte,reflection
ńgyá  shÿo,"reflection, gaze at one’s"
nẅèen nkẅíʼ,refrigerator
ngě,refuge
pepɔ́ɔn,refuge
ndʉ̀ʼ,refusal
ḿbʉ́,refuse
ńdʉʼ,refuse
ésẅe,refuse something to someone
ńdʉʼ lépʉ,refuse to breastfeed
ńdʉʼ lépʉ,refuse to nurse
ńgʉa na,"regards, as"
ńtáb,regenerate
pàga ngwòŋ,region
ntsíŋ,"region, outside"
ŋwàʼne mezíŋ,register
ḿmÿagte,regret
ḿmÿɔgte,regret
mÿɔ̀gte,regret
ḿmÿɔg,regret
ḿmÿag,regret
ntsɔ̀ʼte,regulator
ńdimte,reheat
ńtsɛ,reinforce
ńtsáte,reinforce
