en,ngiemboon
ńtáŋte,organize
ńtúŋte,organize
ntàŋte,organizer
ngàŋa táŋte,organizer
mántùʼ kěm,organizer of a rite
lesaʼá,origin
lefǒ,origin
mantsɔ̀b,original
legyé,ornament
nnú mekwò,ornate monitor lizard
mentsě,orphan
tse,"orphan, depression"
lekʉ̀b,osier
pépÿé megwé,osprey
etsɔ́,other
yetsɔ̌,other
yetsɔ́,other
atsɔ̌,other
etsɔ́,other
atsɔ̌,other
etsɔ̌,other
mendyɛ̀ʼɛ,other
sendyɛ̀ʼɛ,other
etsɔ̌,other
atsɔ́,other
petsɔ́,other
atsɔ́,other
wendyɛ̀ʼɛ,other
metsɔ́,other
wetsɔ̌,other
tsɔ́,other
tsɔ̌,other
yendyɛ̀ʼɛ,other
pendyɛ̀ʼɛ,other
wetsɔ́,other
setsɔ́,other
ndyɛ̀ʼɛ,other
tà á té púʼu wɔ́,otherwise
mbwontse,"otter, speckle-throated"
mbwontse,"otter, spot-necked"
yeg,our
jʉ̀ge,our
pég,our
yege,our
yege,our
mégè,our
yég,our
ség,our
pég,our
weg,our
ség,our
mégè,our
wég,our
még,our
még,our
weg,our
shʉ́g,our
wég,our
yeg,our
wege,our
yég,our
shʉ́g,our
jʉ̀ge,our
wege,our
peg,our excl.
pégè,our incl.
pégè,our incl.
pege,our incl.
weg,ours
yég,ours
pég,ours
még,ours
mégè,ours
még,ours
wege,ours
ség,ours
wég,ours
yeg,ours
jʉ̀ge,ours
shʉ́g,ours
yege,ours
kwàʼ pege,"ourselves, we"
kwàʼ peg,"ourselves, we"
pégè,ours incl.
jʉ́gè,"ours, yours and"
ségè,"ours, yours and"
yégè,"ours, yours and"
wégè,"ours, yours and"
shʉ́gè,"ours, yours and"
ségè,"our, your and"
ségè,"our, your and"
shʉ́gè,"our, your and"
wégè,"our, your and"
yégè,"our, your and"
jʉ́gè,"our, your and"
shʉ́gè,"our, your and"
wégè,"our, your and"
yégè,"our, your and"
jʉ́gè,"our, your and"
pǐ,outdoors
nzsǒ,outfit
