en,ngiemboon
éfá,thread
sìsyè,thread
éshúte,thread one’s way between
nkẅinkẅèen,"thread, plant"
ḿmíte,thread your way in between
mvège,threat
ńdẅile,"threat, approach a bit"
ńgege,threaten
ḿvom,"threaten, pretend"
heen éen een,"threat, issuing"
sétá,three
métá,three
méntá,three
ntá,three
yétá,three
kwɔ̀ʼɔ ndá,threshold
lèʼe,thrift
múɔ lóŋ,throat
mìi lóŋ,throat
miʼté,"throat, inflammation"
tsébe,"throat, sore"
kwɔ̀ʼɔ fùɔ,throne
ńnéŋe na lefùɔ,"throne, stay on"
ḿmaʼ,throw
ńgwáʼ,throw
ngwàʼa,thrower
ngwè,thrower
ńgwáʼte,throw here and there
ńgáte,throw off balance
ńgÿáte,throw off balance
ńŋwaŋ nné,throw off sparks
ńtsẅíle,throw someone off balance
ńgẅíʼi,throw up food
ésẅíe,throw very far
