en,ngiemboon
lɔ̌ɔn,far past
sossò,fart
ésso,fart
sessò,fart
pʉ̌ŋ,"fart, sound"
ntèm menzsǒ,fashion designer
tʉ̀,fast
ńdwo,fast
lekwoŋ kwoŋ ńnéŋe nzyè,fast
ńgáŋa pwó,"fast and good, do"
ńkime,fasten
jÿɔ̀ʼɔ,fastener
jÿɔ̀ʼɔ ndá,fastener
vǎd,"fast, very"
vàg,"fast, very"
fím,"fast, very"
gǎd,"fast, very"
pfâd,"fast, very"
kǎd,"fast, very"
ńcÿoonte,"fat, become"
lezǐ,fate
kwɔ̀g metsẅiŋ,"fate, bad"
metwò,"fate, bad"
éfÿɛ́,"fat, grow"
tá,father
tákẅìʼ,father-in-law
tá mpfó,father of the deceased
tàndǔm,father of the husband
tánè,father of twins
nzèm patɔ̌ɔn,father’s side
ntse,"father, wife’s"
lekʉ̂a,fatigue
mòon ngékule,"fatigues, war"
pwɔ̀b,"fat person sitting down, sound"
éfÿɛ́,fatten
ńtsáb,fatten
éfÿɛ́,fatten up
