en,ngiemboon
kʉ̀kÿɛ̀,hen’s comb
nzàʼa tsaŋá legǐ,herbalist
mpfɛ̀ legǐ,herbivore
ngwè,"herb, sp. edible"
gáʼà ndÿɔgɔ́,"herb, sp. oily"
jʉʼɔɔn,here
lɔɔn,here
jÿɔ́ʼ,heritage
éfómte,hermetically seal
ńki,hermetically seal
mentolé,hernia
kéyàʼ,heroic song
ncùm,"heron, black"
ḿmʉ́ʼte,hesitate
ńtsiʼte,hesitate
gegàŋa tsẅɛ,"hibiscus, garden"
késhʉʼ,hiccup
ńdÿoon,hide
ńkʉŋ,hide
ḿbɔ́ɔn,hide
ńdeʼe,hide
mánkɔ̌ɔn nkàndóŋ,hide-and-seek game
ńdyeente,hide in various places
ńdyeente,hide oneself
ńdyeen,hide oneself
levwɔʼté,hideout
lelyèen,hiding place
levwɔʼté,hiding place
sate sate,higgledy-piggledy
mesǎ mésǎ,higgledy-piggledy
lekwɔʼɔ́,high
kúkwóŋ,high
kẅɛ̀ʼ ntsíŋ,high heel
kwóŋ,"high, up"
lekwɔʼɔ́,hill
lekwɛ́,hill
