en,ngiemboon
ge,immediate future
leen,immediately
ńdeen,immediately
ndee,immediately
ndeen,immediately
ńgwóon,immediately
fʉ̀ʼɔɔn,immediately
kÿò láʼ,immigrant
tsêm,immobile
tsyɛ̀te nnɛ́,impatience
kákaa,"impatience, shows"
ḿ-,"imperfective, realis"
ń-,"imperfective, realis"
é-,"imperfective, realis"
ńjÿɔg,implant
ńnÿɔg,implant
shúm ssé ndá,implement
ntyèen,"implement, construction"
káa tàŋa,"implement, construction"
ńjÿɔg mvfò,implore
ńtsẅɛ ncwò,"impolite, be"
ńzɛ ncwò,"impolite, be"
ndÿò,important person
mbʉ̀ŋte,importune
mà,impossible to change
mbóŋ,impoverished
temmó,impoverished
ńjÿɔ́ʼ,imprison
kẅɛ̀ʼ kẅɛ̀ʼ,improper approach
zà pàb zà pàb,improper approach
shÿò paʼá,improper approach
kwɔ̀ʼ kwɔ̀ʼ,improper gait
sẅisẅé,impure
kwàʼ mèŋ,I myself
á,in
tsɛ̀ɛ,in
né,in
lé,in
ńgwɔ,in
te-,in-
nzèm mbàʼ,inappropriate meaning
tèkǔ na nò,incapable
