en,ngiemboon
lepfòm ndàŋa lìi,bloated stomach
lepfòm ndʉ̀ŋe lìi,bloated stomach
ńtíʼte,block
ńtíʼ,block the way for water
ńtsɛ́te,block up holes
metse,blood
métá,blood brother
kɔ̌ɔn metse,blood clot
máshúa,blood loss
twò mvɛ̌,bloody nose
mbyèmelùʼ,blotched genet
mbyèmelùʼ, large-spotted genet
tsemé nzsó,blouse
gegÿɛ́ nzsó,blouse
ncwò,blow
ntsɔ́gè,blow
ntsɔ́g,blow
ntsyág,blow
ntsɔ́g,blow
éfÿág,blow
ntsɔ́gè,blow
ńkɔ́ʼ,blow
éfa,blow
mpfɔ́g,blow
fàa,blower
fÿàg,blower
lóŋ tekwò,blow from a toe
éfÿág mezẅé,blow one’s nose
éshʉge,blow up
ńtub,blow up
ńnɔɔn,blow up
ḿmúʼte,blow up
késiŋ,bludgeon
siŋ,bludgeon
késiŋ,bludgeon
ńtsẅɛ,blunt
kùmo kẅíʼ múɔ,blunt instrument
kùbu,blunt instrument
ńŋwele,"blurred, be"
ḿbaŋ,blush
mbɔ̀ɔn,boa 
peláŋ,board
tsìŋe lekyé,"board, draining"
ndòŋ nkʉ̌a,"board, draining"
sẅɛ̀ɛ mbɔ̀ɔn,"boa skin, moulted"
