en,ngiemboon
mapúɔ,stool
leŋ,stool
lʉŋ,stool
kwɔ̀ʼɔ,stool
kwɔ̀ʼɔ ndʉŋ,"stool, k."
kwɔ̀ʼɔ mekwò,"stool, k."
zɛ́,stools
ńtíɛ nzɛ́,"stools, pick up"
ńtsẅé jʉʼ,stop
letyě,stop
ńgwoon,stop
ntyè,stop
ńtyé,stop
ńzáʼa,stop
ńtyéte,"stop, come to a"
ńgʉ́ʼte,stop forcefully
ńzábte zábte,"stop, go without stopping at first"
ńgwoonte,stop here and there
ńgwele,stop over at
ńtsẅíte,stop 
ńtsɔ́ʼɔ fàʼ,stop working
ntaŋ,store
ńjÿɔ́ʼte,store all over
éfoo lepfo,store cola in basket
éffo lepfo,store cola underground
ndêg,storey
pyɛ́ʼte,story
mápitsɔ̀ʼ,story
mándagá,story
púʼ kwɔb,story
mbìte,storyteller
ńzyɛ́ʼ,straddle
ḿbate,straddling the back
ḿba,straddling the back
ndeŋ ndeŋ,straight
ndee,straight away
ndeen,straight away
tsìŋe,strainer
kʉ́,strange
nzàʼ,strange
pǒŋ ménò,strange
