en,ngiemboon
ńdébe,jabber
ndèbe,jabberer
ńjÿɔ́ʼ,jail
ńtebe,jam
ńnúʼe,"jam, be in a traffic"
ńnúʼe,"jammed, get"
saŋ tsetsɛ̀ɛ lùm,January
sɔ́ʼ,jar
lepʉ́a,jar
pàŋ mekwaʼá,"jaundice, k."
gág,jaw
ńkwɔ́ʼɔ lóŋ,"jealous, be"
ńkwɔ́ʼɔ lóŋ,"jealous of, be"
kwɔ̀ʼɔ lóŋ,jealousy
máfómo lii,jester
kúkwò,jigger
ńtú,"jigger, remove"
tẅag,"jigger that explodes, sound"
tsẅiŋ,jinx
levàtsàʼ,jitter
ncwòfàʼ,job
pambè,job
ngàŋa pàmbè,jobber
ḿmege,"job, finish"
sɔ̌b siŋ,"job, means"
ńtswéʼe,join
ńkẅɛ́te,join
ḿbúte,join
ńdele,join
ńtúŋte,join bamboo
