en,ngiemboon
làpêŋ,rabbit
ndʉ̌,race
lekÿò,race
tsìŋe lekyé,"rack, draining"
ndòŋ nkʉ̌a,"rack, draining"
jùʼu shwóŋ,radio
nkʉ̌a,raffia
sém,"raffia, bifurcated shoot"
tù nkʉ̌a,raffia branch
pwòon nkʉ̌a,raffia cover
sẅǐŋ,raffia fibre
fǐŋ,raffia fibre
kwɔb,raffia field
mátà,raffia mat
mbɔ̀ɔn,"raffia, notches"
kwɔ̀ʼɔ nkʉ́a,"raffia, seat"
kúb,raffia seed
sém,"raffia shoots, twin"
gùmopàʼa,rafter
málezẅé,"rafter, angle"
ntsyàg,rag
vèle,rag
nkwóon,rail
mbʉ̀ŋ,rain
ńdú,rain
gwâ,"rain beating down, sound"
nkwoŋ nnù ngém,rainbow
nyìnyɛ̀ʼ mbʉ̀ŋ,"rain, fine"
nyɛ̀ʼnyɛ̀ʼ mbʉ̀ŋ,"rain, fine"
ḿbaʼ mbʉ̀ŋ,"rain, keep from falling"
lúu nzǐŋ nzǐŋ,"rain shower, local"
