en,ngiemboon
ntsaŋ,"bananas, hand"
tùtùʼu mendóŋ nkandi,"banana, sp."
nkandi pʉ́a,"banana, sp."
nkandi tikú,"banana, sp."
sòŋo ńcʉ́me,"banana, sp."
kwɔ̀ʼ,banana stalk
ndǒon,banana tree bark
nkandi nkʉ̌a,"banana, wild"
melùʼ nkandi,banana wine
Ngǎŋ,Bangang
mengǎŋ,Bangang inhabitants
mbâŋ,bank
nziŋé,"bank, river"
nzǐŋ,"bank, river"
tâshÿɔ́ʼ ndɔɔn,bantam
kẅe ntse,baptism
nnùʼ pʉ̀a ntse,Baptist
ńnuʼ pʉ̀a ntse,baptize
ńnéŋ ntse twó nyìŋ,baptize
ńkẅé ntse,"baptized, be"
ńkẅé ntse,baptize oneself
mbaŋkwɔ́ʼ,bar
menzoŋ menzóŋ,barbed
ńcuʼ,bark
ngùb,bark
kùb,bark
ńgwɔg,"bark, dog"
gûg,bark 
ndǒon,bark of a banana tree
nkìŋ,barn
ndʉ̀m,barn owl
káasè,barrel
