en,ngiemboon
ntoŋ,motive
tùbtùb,"motor, pump"
tùbtùb,"motor, sound"
kúmò nzsè,motorway
kúmò lǎŋ,motorway
fòmo,mould
lekɔ̌ɔn lɔ̀ɔn,"mould, blacksmith’s"
ḿmʉ́ŋ,"mouldy, go"
éfom,"mouldy, go"
ḿméŋ,"mouldy, go"
ésẅɛɛ,moult
sẅɛ̀ɛ mbɔ̀ɔn,moulted boa skin
sẅɛ̀ɛ nnú,moulted snake skin
ndùngwɔ̌ʼ,"mound, termite"
ésẅɛ́bte,mount
lekwɛ́,mountain
nèŋe,mountain robin-chat
legwé,mourning
ńdúŋ,"mourning, be in"
malínɔ̀ɔn,"mourning outfit, k."
ŋwàʼ,"mourning outfit, k."
twó légwe,"mourning, sign"
fʉ̀a,"mousebird, bar-breasted"
fʉ̀a,"mousebird, speckled"
métsyɛ,"mouse, common house"
kwɔ̀ʼ twó,"mouse, sp."
lub,"mouse, sp."
mbwɔ̀ʼ mbab,"mouse, sp. fat"
tùʼ mbab,"mouse, sp. field"
kíkí màwàʼ,"mouse, zebra"
