en,ngiemboon
ḿbím,"content, be"
shÿó nò,context
tendyèen,"context, out of"
pàga njÿó,continent
ntsìŋte,"continues, one who"
ńŋúʼte,contract
kʉ̀a,contract
ḿmaʼ,contribute
ńtsáase,control
ésíɛ,control
ntsàʼa,controller
sìɛ,controller
sìɛ nÿɔ́g,controller
ńkwɔ́ʼte,contuse
sẅétè,convalescence
éshwóŋe mépʉ́a,converse
éshwóŋe,converse
ńtsemte,"converse with someone, intimately"
ḿbʉ́ʼ,convulse
ńdɔ́ɔn,cook
kwɔ́g,cook
ḿvfóte,cook
ḿvfó,cook
mevfǒ,cooked
wevfǒ,cooked
pevfǒ,cooked
yevfǒ,cooked
ndɔ̌ɔn,cooked
sevfǒ,cooked
vfǒ,cooked
ńgáb,"cooked, be half"
ńgáb,"cooked, be poorly"
ndá mmɔ̌g,cooking
lekʉŋ,cooking-pot
mentsẅɛ́,cooking stone
letsẅɛ́,"cooking stone, k."
ńdɔ́ɔn,"cook, make something"
ńdɔ́ɔnte,cook several
sẅisẅê,cool
