en,ngiemboon
mbèlengàlôŋ,cemetery
soŋ,centre
tsetsɛ̀ɛ,centre
sesoŋ,centre
soŋo,centre
soŋ,"centre, in"
soŋo,"centre, in"
letẅì,centre of the house
nkɔ̌ɔn,century
ngàb ntʉ̀,century-plant
kukúlu,"cereal, baby"
túʼu pfó,cereal ears
ngàŋa pím,"ceremonies, master"
pÿè,"ceremonies, padauk powder"
cùʼupfɔ́g,"ceremony, goat for widow’s"
njÿò láʼ,ceremony in June
sẅɛ̀ʼ,"ceremony, k."
línɔ̀ɔn,"ceremony, k."
etsɔ́,certain
yetsɔ̌,certain
yetsɔ́,certain
atsɔ̌,certain
etsɔ́,certain
atsɔ̌,certain
etsɔ̌,certain
mendyɛ̀ʼɛ,certain
sendyɛ̀ʼɛ,certain
etsɔ̌,certain
atsɔ́,certain
petsɔ́,certain
atsɔ́,certain
wendyɛ̀ʼɛ,certain
metsɔ́,certain
wetsɔ̌,certain
tsɔ́,certain
tsɔ̌,certain
yendyɛ̀ʼɛ,certain
pendyɛ̀ʼɛ,certain
wetsɔ́,certain
setsɔ́,certain
ndyɛ̀ʼɛ,certain
sɛtifikâ,certificate
mbèlevê,certificate
nzẅiŋ ngùʼ,"certificate, birth"
nenème,cerumen
tsɛ̂n,chains
mashʉŋ metÿǒ,chain saw
kwɔ̀ʼɔ lʉŋ,chair
lóŋ ntsìɛ,chair
kwɔ̀ʼɔ njʉʼʉ́,chair
lejʉʼʉ́,chair back
kwɔ̀ʼɔ lekʉb,"chair, rattan"
mbwǒon,chalk
sà ntí,"chameleon, changeable"
kénáŋ mandóŋ,"chameleon, Eisentraut’s"
