en,ngiemboon
mìi lóŋ,oesophagus
mɔ̀g,"oesophagus, intermittent"
pà,of
fʉ̀a mbʉ̌,offender
vɔ̀gɔ ncù,offensive
nna nǎ,offered
ncùb,offering
nkyè,"offering, food"
ndá ntsem,"office, secretary’s"
nkáŋ nkyɛ,official gallery
ngẅɛ̀,offspring
sàʼa,offspring
fɔ́gɔ,off-white
mefɔ́gɔ,off-white
ńtʉʉ lelÿò,"often, very"
mevɛ́,oil
kàlàsí,oil
ńnuʼ,oil
ńzɔ́ʼ,oil
ńjÿɔgte,oil
ńnéŋ mevɛ,oil
ńzɔ́ʼte,oil
ndáŋ,"oil, calabash"
gʉ̌ mevɛ́,"oil, calabash"
ésibe,"oil, carefully"
fɔ̀gɔ,"oil, food without"
éfɔb,"oil on the food, less"
letʉ̌ʉ,oil palm
letÿǒon,oil palm
menaŋ,"oil, palm-kernel"
leshʉŋ,"oil plant, castor"
gegàŋ,okra
wenzẅìŋ,old
sezẅìŋ,old
zẅìŋ,old
pezẅìŋ,old
mezẅìŋ,old
yezẅìŋ,old
lÿò,old age
ńzẅiŋ,"old, grow"
ńcÿɔgte,"old, grow"
