en,ngiemboon
tákaláʼ,"sibling of twins, oldest"
mákaláʼ,"sibling of twins, oldest"
ńguɔ,"sick, be"
ńguɔte,"sick, be frequently"
ńtsɔ́b,"sick, fall"
tekwò,sick foot
ńdẅɛ,"sick, get worse"
guɔ,sickness
cʉ̀cÿò,"sickness, k."
túʼu pfó,sickness of ears
mbá,"sickness, spleen"
ńtsáŋte,"sickness, suffer too much"
fòŋ,"sick people, visitor"
nguɔ,sick person
lepfòm ndǔm,sick stomach
éfóŋ,"sick, visit someone"
sǎg,side
nkwɔʼɔ́,side
gwǒŋ,side
mánèndèle,"side by side, things"
mándèndèle,"side by side, things"
nzèm patɔ̌ɔn,"side, father’s"
legʉŋe kwò,side of the foot
nzem,"side, other"
nzeme,"side, other"
éfÿe,"siesta, take"
tsà kèle,sieve
tsàʼ kèle,sieve
tsìŋe,sieve
ḿvɔbte,sift
ńcʉʼ,sift
ḿvɔb,sift
ńzẅi,sigh
ndʉ̀ŋe,sight
ndèŋe,sight
lelèŋ,sight
