en,ngiemboon
kẅɛ́ɛ pwòon,stingy
nkùbo,stingy
nkùbe,stingy
gʉ̀ŋe ńkÿɛ́,stingy
ngàŋ nkùbo,stingy person
ḿbʉe,stir
ńnuʼte,stir 
ḿbʉete,stir regularly
ńkẅíge,stir the fire
ntěm,stitched
sẅɛ̀ɛ,stock breeder
sẅɛ̀ menɔ̀ɔn,stock breeder
ndʉ̀ndÿɔʼ,"stock, soup"
ńtsẅág,stock up
lepfòm,stomach
manjÿò,stomach
májÿò,stomach
lepfòm ndàŋa lìi,"stomach, bloated"
lepfòm ndʉ̀ŋe lìi,"stomach, bloated"
tɔ̌g,"stomach, growth"
éfɔbte,"stomach, have bloated"
éfɔb,"stomach, have bloated"
lèm ndyé,stomach hum
shʉ́,"stomach, lower"
lepfòm ndǔm,"stomach, sick"
ńtsíʼi,stone
tóon,stone
ńtémte,stone
mentsẅɛ́,"stone, cooking"
têm,"stone falling, sound"
ngwɔ̀ʼɔ,"stone, grinding"
mákʉ̀,"stone, k."
tóon ntʉ̀,"stone, k."
letsẅɛ́,"stone, k. cooking"
ngɔ̌ɔn,"stone, magic"
ŋwʉ̀ŋwʉŋ,"stone, precious"
