en,ngiemboon
shÿéshÿɔ́g,effect
shʉ́shʉ́m,effect
shʉ́shÿɔ́g,effect
lekwɛ̌ nkandɔ́ɔn,effort
ŋège,effort
ésem,"effort, make"
ńkaʼ nzàʼ,"effort, make"
ésemte,"effort, make"
lepum,egg
mìmbum,"egg-eating snake, Central African"
ndẅindẅé,"eggplant, bitter"
shʉ́shÿó,eggplant 
shʉ́shÿólàʼ,"eggplant, sp."
ndẅindẅé meshʉ́ŋ,"eggplant, sp. wild"
shʉ́shÿónè,"eggplant, sp. wild"
mbum,eggs
melwò,"eggs, unfertilized"
kim,egoist
kíkim,egoist
ngàŋa sẅè,egotist
ńkim,"egotistical, be"
ncùm,"egret, black"
féfɔ́gɔ ncùm,"egret, Western reef"
lefɔ̌ɔn,eight
ntsɔ̀b lefɔ̌ɔn lé legém,eighteen
móm lefɔ̌ɔn,eighty
wɔ́ɔ,either
sìŋe,elastic
ńdíbe,"elastic, feeble"
ńdíbe,"elastic, worn out"
ntsiŋe pwó,elbow
ńjʉ́ʼe,"elbows, lean on one’s"
