en,ngiemboon
lezìŋ,epididymis
gwáʼ,epilepsy
ngwè gwáʼ,epileptic
mbàʼ,episode
mpfò,episode
ḿbéŋe,equalize
ḿbʉ́ŋe,equalize
yé,equally
yɔ́ɔn,equally
yɔ́b,equally
yég,equally
nzyè letaŋá,"equity, shareholder’s"
ésiɛ,eradicate
ḿvéle,erase
ésɔgɔ,erect
ńdu,"erect, be"
ńdúʼe,erode
éfʉate,err
éfʉa,err
fʉ̀a pwó,error
fɔ̂d,error
ḿvɛte,error while subtracting
ńtsẅɛ́te,escape
ńtsɔgɔ,"escaped, barely"
ńtsẅíle,escape from
ésẅag shʉ,escape from shame
tetʉ́a kwóŋɔɔn,esplanade
gyɛ̌,esplanade of the chief’s compound
píte,essay
tùu nò,essay
ńjÿɔg,establish
ńnÿɔg,establish
gwága ntse,estuary
lecʉmé ntse,estuary
ndyɛ̀ ngʉ̀a,eternal
temì,eternal
temàg,eternal
