en,ngiemboon
mbìm,"force, driving"
múɔ pím,"force, driving"
ńdɔg tʉ̀,forcefully act
ńgʉ́ʼte,forcefully seize
ńgʉ́ʼte,forcefully stop
mékɔ́ɔn,"force, police"
meŋegé,"forces, final"
tánkáb,forefather
zǐ shÿó,forehead
kʉ́be zǐ,"forehead, jutting"
sòŋo zǐ,"forehead, jutting"
túm,foreign
nyìŋe túm,foreigner
mbím,forest
ndèmóon púʼ,forest guard
nkwòon tÿǒ,forestry worker
lefomó,"forest, sacred"
ńtʉ́ njÿó,foretell
nkwàŋa ndyɛ̀ʼɛ,forethought
ndàʼa,forever
ndàʼndàʼ,forever
lekwɔɔn,forfeit
ńtsó,forge
lɔ̀ɔn,forge
ésa shÿó,forge
ndù lɔ̀ɔn,forge hammer
sashÿó,forger
sashÿó,forgery
ńdege,forget
tsɔ́ɔn mézìŋe,forgiveness
shúshu,forgiveness
shúshu,forgiveness
tsétsɔʼ,forgiveness
