en,ngiemboon
páʼɔɔn,"way, in this"
nzèm ndyɛ̀ʼɛ,"way, mystical"
kẅíŋe,way out
kwɛ,W.C.
pege,we
peg,we
nyɛ̀ʼɛ,weak
éfege,"weak, be"
lepÿɛ́,weakness
zyɛ́ndèlè,wealth
tÿɔ́gɔ,wealth
ńdab,"wealth, search for"
ngàŋ nkáb,wealthy person
ńtɔʼ lépʉ,wean
ńdʉʼ lépʉ,wean
ḿbiʼ,wear
ńjÿɔ́g,wear pants
éshÿɔ́gte,wear 
jʉʼ,weather
sɔ̀bɔ mbyɛ́ʼte,"weave a mat, hook"
ntsẅàŋa,weaver
ntswàŋa,weaver
mbàʼa,weaver
shʉ́ŋ ncwò,weaverbird 
shùshù,weaverbird 
kùa pɔ̀ɔn,weaver’s shuttle
ńtsẅaŋ,weave 
ńtswaŋ,weave 
ńkaŋa,weave the bottom of a basket
ńkaŋa,weave the bottom of a basket
mòon mbì,weaving a mat
mù,"weaving, unique strip"
fʉ̌a,"weaving, unique strip"
tsẅàŋ,web
tswàŋ,web
