en,ngiemboon
ńŋáʼte,open slightly
ńnyɛ́ʼɛ,open up
ésiɛte,open wide your eyes
ńgwa,operate
ńkwɔgte,operate
legwà,"operation, surgical"
ngwàa,operator
tʉ̀ʉ twó,opinionated
shÿɔ̀g,"opinionated, be"
ngàŋ ndʉʼʉ́,opponent
ntìŋ ndʉ̀ʼ,opponent
ńtiŋ ndʉ̀ʼ,oppose
lekyɛ̀bɛ,opposite
ndʉʼʉ́ndʉʼʉ́,opposition
ésẅɛ́,oppress
nẅɛ̀,oppression
ngàŋa nɔ̀ʼ,oppressor
kà,or
ntsɔ̀ʼ ngɔ̌ɔn,oracle
lámáasè,orange
tÿǒ lámáasè,orange tree
kẅíʼ fùɔ,"orchestra, chiefdom’s sacred"
lefomó,"orchestra, twin’s ceremonies"
mùʼ fáŋ,"ordeal, punishment"
ńtáŋte,order
ńtúŋte,order
ńtúŋte,order
ńtáŋte,order
tà á té púʼu wɔ́,or else
tsǎʼ nnɛ́,organism
