en,ngiemboon
ntsɔ́ʼ,withdrawal
ńtsíb,withdraw from the fire
ńtsíb,withdraw from the pot
ńtíɛte,withdraw here and there
ḿbíʼte,withdraw without wrapping
ńtaŋte,wither
nté,without
te,without
té,without
tepwó,without a hand
ńnyíme nyime,without delay
moon,without doubt
nzǎg ngě,without support
njÿò menáŋ,witness
kẅé ntaŋ,witness
lefɔ́g,"wives, relationship between co-"
manzwě,woman
mâfɔ́gɔ,"woman, albino"
mámbiʼí,woman in charge
ńcúa lesẅɛ̀,"woman, purify"
ńcúɔ lesẅɛ̀,"woman, purify"
ngwɔ̀,"woman’s game, k."
maapfó,"woman, unfortunate"
mâfɔ́gɔ,"woman, white"
maapfó,"woman, wretched"
nkʉ̀a lezyé,womb
kàba,women’s dance clothes
mángʉm,wonder
nkʉ̀ʼʉ,wonder
nkẅíŋ,wood
mbím,wood
