en,ngiemboon
nkǐb púusè,"plant, giant sensitive"
letsiŋé,"plant, ground around"
pàʼ mbʉ̀ŋ,"plant, haemorrhage"
mákʉmte púɔ,"plant, life"
mákemte púɔ,"plant, life"
ḿbá,plant out
mbàa,"plants out, one"
mándàg,"plant, sp."
nyɛ̀ méshʉŋ,"plant, sp."
mbepÿɛ́,"plant, sp."
ndèndʉ́m,"plant, sp."
pípí,"plant, sp."
yàŋa yáŋa kẅìʼfùɔ,"plant, sp."
mbʉpʉ́,"plant, sp."
nẅɛʼɛ́,"plant, sp."
ńzẅí,"plants, pull up in disorder"
mentoŋ,"plants, tops of"
nkẅinkẅèen,"plant, thread"
ffo pàŋ,"plant, toothache"
pɔ̌ɔn mmó,plaque
pelâg,plaque
pàg,plaque
éshʉŋ,plaster
káŋ,plate
káŋa jùa,"plate, aluminium"
kàpàg,"plate, calabash"
mmɔ̀g,"plate of food, desire"
káŋa mekéle,"plate, speckled"
ńgÿote,play
ńtém,play
ḿbele,play
ńkaʼte,play
ḿbíʼte,play by candlelight
nkoon kyɛ́d,"played by children, harp"
ntème,player
mbùʼu,player
ntèm,player
ńgwete,play with
ḿbíte,plead
zòon,pleading
