en,ngiemboon
ńdemte,whisper
ńzẅɛ́te,whisper
ńzémte,whisper
ńtóŋ,whistle
ndóŋ,whistle
mandèle,"whistle, cruciform wooden"
letagá,"whistle, cruciform wooden"
ndóŋ,"whistle, modern"
cǔ,"whistle, tube"
méncʉ̌a,"whistle, vertical animal horn"
méshʉa,"whistle, vertical animal horn"
lemí,whistling
peféfɔ́gɔ,white
féfɔ́gɔ,white
yeféfɔ́gɔ,white
fɔ́gɔ,white
mekéle,white
yeféfɔ́gɔ,white
seféfɔ́gɔ,white
weféfɔ́gɔ,white
mefɔ́gɔ,white
seféfɔ́gɔ,white
meféfɔ́gɔ,white
éfɔ́g,"white, be"
éfɔ́gɔ,"white, be"
malákú,"white bean, sp."
féfɔ́gɔ mekú,"white bean, sp."
mekú féfɔ́gɔ,"white bean, sp."
ndÿɔgɔ́,white man
pàŋa,white man
tàafɔ́gɔ,white man
éfɔ́ge,whiten
fɔ́gɔ̀ lejÿɔ́g,white of the eye
féfɔ́gɔ̀ sɔ̀b,white pepper
ndegé,white person
ntɔ́d,"white, very"
mbwǒon,whitewash
mâfɔ́gɔ,white woman
gie,who
mie,who
wɔ̌,who
sie,who
gẅie,who
pie,who
ḿbíʼi kɔ́,why
á nue kɔ́,why
mélàʼa kɔ́,why
ńtí kɔ́,why
lekʉ̀b,wicker
ésɔɔnte,widen
ésɔgɔ,widen
ésiŋte,widen
mpfɔ̌g,widow
zàkwɔ̀ʼ metoŋ,"widowbird, red-collared"
sessò sẅǐŋ,"widowbird, red-collared"
mpfɔ̌g,widower
