en,ngiemboon
Fwɔ̀ʼsab,Bafoussam
shwóŋò pafud,Bafut language
tsyèen,bagasse
kekáŋa letÿǒon,"bagasse, palmnuts"
ńkú,bail out
tsẅìte,bait
nzǎŋ,balafon
ńzóŋo,balance
ńnyíŋte,balance
ésa,balance
ńgÿɛ́te,"balance, lose"
ńtsẅíle,"balance, throw off"
Láʼatsẅɛ,Balatchi
ziɛ ndù,bald
ziɛ ndù,baldness
Leshʉ́ŋ,Balessing
lelùŋo,ball
lepuʼú,ball
mâsî,ball
pɔ̂g,ball
lɔ̌ɔn kwò,ball of the foot
mbîg,ball-point pen
cÿáŋcÿáŋ,"balls, concussion"
ḿbwóonte,"balls, make"
njʉ́ʼ,balsam pear
njwò,Bambara groundnut
ésye,bamboo ceiling
lefÿɔ̀g,"bamboo, Chinese"
lefÿàg,"bamboo, Chinese"
nkùɔ,bamboo dibble
nkùa,bamboo dibble
jwàʼ,"bamboo falling, sound"
zwàʼ,"bamboo falling, sound"
