en,ngiemboon
ńkáb,"fruit, harvest"
fwɔ̀ʼ fwɔ̀ʼ,"fruit leaving, sound"
mambú mbÿàg pÿág,"fruit, passion"
laale,"fruit, passion"
ndi,"fruit shells, dried"
kùb,"fruit, skin"
nyɛ,"fruit, sp."
ntɔ̌ɔn,"fruit, sp."
kíi nnáʼ,"fruit, sp."
sɔ́g,"fruit, sp."
mbÿě,"fruit, sp. black"
mbaŋ mvfǒ,"fruit, sp. inedible"
mbÿě ngem,"fruit, velvet tamarind"
ńkáŋ,fry
cÿâʼ,"frying, sound"
ńzíge,full of something
kème legwe,funeral
legwe nziŋte ziŋté,funeral
ndàb,funeral cloth
ngùb legwé,funeral collection
ńzíŋte,"funeral, dance after"
zíŋ,"funeral dance, k."
nkyè,funeral offering
ntse legwé,funeral song
tsàpfó,"fungus, sp. small"
ńkíŋ,"fun, make"
jʉ́a,funnel
ḿbéen,"funny, be"
ḿbée,"funny, be"
ńkíŋte,"fun of, make"
ńzoonte,"fun of, make"
mbÿè ngwóŋ,furrow
ndùm ngwóŋ,furrow
