en,ngiemboon
ḿbá,consider
metsɔ̌ɔn pyé,consolation
lɔg ngwág,"consolation, object"
ńkwɔgte loŋ,console
ńtsɔ́ɔn mezìŋe,console
ńdáŋte,console
ńguʼu,"console, use to"
tèmte ncwò,consonant
nkwàʼte,conspiracy
ntàŋa,conspirator
nzàʼa kwɛ̀te,conspirer
nzàʼ lekwɔɔn,conspirer
tiŋe lepfòm,constipation
fʉ̀,constipation
tsǎʼ nnɛ́,"constitution, body’s"
ntyèen,construction implement
melu nkóo,construction implement
ntà nkěm,construction implement
káa tàŋa,construction implement
nkwɛ̀ɛ,constructor
mbwòon,constructor
ńtsáase,consult
ḿmwoonte,consult
ntsàʼa,consultant
mbìge,consultant
ntsàase,consultant
lepigé,consultation
ńtsemte,consult each other
ḿbíge,consult each other
ńjÿó,consume
mpfɛ̀ɛ,consumer
njÿò,consumer
lyèente,contact
ḿbwóte,contain
ḿbwó,contain
ńtsáte,contain
kùu,container
ngwág,contempt
mánẅile,contempt
gulû,"contempt, showing"
guʼ ú,"contempt, shows"
gìʼi,"contempt, shows"
gu û,"contempt, shows"
