en,ngiemboon
nkǐŋ,barren
kǐŋ,barrenness
lecʉŋé,barrette
tʉ̂a nkáʼ,barrier
kʉŋ,barrier
nkàŋ nkáʼ,barrier
mvɛ̀d,"bar-zither, idiocord"
shwóŋò pʉa mbasǎ,Basaa language
mecwoŋó,base
letsìŋ,base
tsìŋe ssé,basement
twókáŋ,basin
kánzɔɔn,basket
kánzì,basket
kèkàg,basket
kánzà,basket
kàg,basket
nkentsyɛ̀ʼ mbwó,basketball
ńkẅíd,"basket edge, reinforce"
lekumó,"basket for beans, k."
gaʼa ncÿɔ̀b,"basketgrass, Burmann’s"
túŋ sẅɛ́ɛ,"basket, k."
túŋ,"basket, k."
shʉ̀ŋ,"basket, k."
ńkwɔ́ɔnte,"basket, make solid"
ńkwɔ́ɔn,"basket, make solid"
ńkaŋa,"basket, weave the bottom"
ńkaŋa,"basket, weave the bottom"
nkɔɔn,"basket with handle, k."
tánkɔɔn,"basket with handle, k."
tsétsáʼ,"basketwork, rattle"
nkoon,"basketwork, rattle"
múɔ legǐ,bastard
ńtɔ́gte,baste
ésóon,bat an eyelid
Tsɔ́ɔn,Batcham
pabtwó,"Batcham, k. cultural dance"
fùʼmbùm,"Batcham, k. dance"
