en,ngiemboon
melÿò tsẅíŋ,moustache
ncwò,mouth
gwága ntse,mouth
mbìg,mouth
lecʉmé ntse,mouth
mbìg mɔ̀b,"mouth, big"
éfége,"mouth, come out"
ḿmÿɔb ncwò,"mouth, distort"
tsẅǐd,"mouth, finger coming out"
ncwògʉ̀,"mouth, gaping"
ńŋáʼ ncwò,"mouth, open"
ńŋáʼ,"mouth, open"
gwága ntse,mouthpiece
lecʉmé ntse,mouthpiece
gág,"mouth, roof"
ḿbÿɔb,"mouth, screw up"
ńŋele,move
ńdéŋe,move
ńdʉ́ŋe,move
ḿbíʼ,move
ésẅɛʼte,move
éshÿée,move a great bulk
ńjʉŋte,move along a flat path
ésẅɛʼte,move back
ńnáʼte,move discreetly
cʉ̀cʉ̀ʼ,movement
váʼ voŋó,movement
píʼ,movement
ŋège,movement
mɔ̀g,"movement, intermittent"
ḿmɔgɔ,move one’s neck
ntsìŋte,mover
nkùte melàʼ,mover and shaker
mbìm,"mover, prime"
múɔ pím,"mover, prime"
ńnyíbe nyibe,move without waiting
mɔ̌ɔnmé,Mrs.
mɔ̌ɔn,Mrs.
múɔ manzwě,Ms
