en,ngiemboon
ḿbwɔ́b,fall over
ḿbwɔ́bte,fall over on a large surface
syɛ́ʼ,fallow
nɔ̀ɔn tsèbe,"fallow, cultivated ground"
ésíɛ,"fallow, lie"
ńtsɔ́b,fall sick
toŋó ncÿó,"false alarm, accept"
nkǐbngẅi,falsethistle
ḿvéle,falsify
tsìŋe ndá,family
letú ndá,family affair
tÿɔ́ʼte,family circle
fùɔ tsìŋe ndá,family head
ntse,"family, husband’s"
tsé,family of parents-in-law
sɔ̀bɔ,"family, oldest child of large"
tánkáb,family’s founder
kwɔ̀ʼɔ tsé,family with parents-in-law
gwáŋa,famine
cÿó,famine
nzyè kǔʼ,famine
maŋáʼ,fantastic
ngʉa shʉ̀shʉ̀a,far
lee,far from speaker
mé,far in the past
ńjʉ́ʼ,farm
gùmo,farm
nyìŋe láʼ,farmer
njʉ̀ʼ ngwóŋ,farmer
