en,ngiemboon
lekwoŋ ntswáʼa,"dancing, spear"
lekwoŋ ntswáʼa mefùɔ,"dancing, spear"
lekwoŋ ntswáʼa,dancing with little bell
lekwoŋ ntswáʼa mefùɔ,dancing with small bell
shʉ̀shʉ̀a,dandelion
nyɛ́ʼ ŋuʼ,"dandy, Kunth"
síŋesǐŋ,dark
mwòon nzém,darkness
nzěm,darkness
mwòon nzém,"darkness, intense"
tângɔ́ʼ,darling
táangɔ́ʼ,darling
máangɔ́ʼ,darling
kwɔ́ʼɔ,darling
nɔ̀ɔn,dasheen scraps
lyɛ̌ʼ,date
ńdeʼe,"date, make"
menàʼ,"date palm, African wild"
múɔ ngùɔ,daughter
múɔ manzwě,daughter
melÿe njÿó,dawn
fɔg njÿó,dawn
melʉa njÿó,dawn
lÿe njÿó,dawn
nkwɔ̀ʼ njÿó,dawn
lʉa njÿó,dawn
melém njÿó,dawn
mamelém,dawn
ndʉa njÿó,dawn
ńdÿeen njÿó,"dawn, appear at"
ḿmʉ́,"dawn, go out"
lyɛ̌ʼ,day
zsǒ,day
lyɛʼɛ́ láʼ,day
njÿê,day after tomorrow
ɔ̀ zɔ́gte ntʉ́ʉ,day been good
njÿó lʉ́a,"day, next"
leleʼé,day nursery
shÿàʼcʉ̀ʼʉnzàʼa,day of the week
shÿàʼnzème,day of the week
ngaŋá,day of the week
mándunzse,day of the week
nzèmenzème,day of the week
metʉanzse,day of the week
nkwɔʼshʉ̌a,day of the week
cʉ̀ʼʉnzàʼa,day of the week
njÿonzse,day of the week
shÿàʼngaŋá,day of the week
é cʉ̂ʼ lyɛ̌ʼ shÿɔ́ʼɔ tsɔ́ wɔ́,"days, in a few"
ḿbége,daze
