en,ngiemboon
melɔ̀ɔn,lies
mepab,lies
njÿó,life
legwɔ́,life
letsẅé,life
mákʉmte púɔ,life plant
mákemte púɔ,life plant
melaʼá ndá,"life, private"
ḿbʉʼʉ,life up
ńkwéʼte,lift
ńkwéʼe,lift
ńkyɛʼ,light
kyɛ̀ʼ,light
ńkɔ́ʼ mmɔ̌g,light
ńnyɛ,light
fà,"light a fire, material that helps"
éfege,"light, be"
ńzeŋe,"light, be"
ńdÿéen páŋ,"light coloured, be"
ńkyɛ́ʼte,lighten
ńtɔgɔ,lighten
ngwà mmɔ̌g,lighter
nnyɛ̀ mmɔ̌g,lighter
ńdyɛte,light here and there
kyɛ̀ʼɛ,lighting
ńkʉŋe,lightly clean
ńgwɔ́bte,"lightly, tie"
jyâjyâ,lightness
nně mbʉ̀ŋ,lightning
kyɛ̀ʼ,lightning flash
ńdyɛte,light several times
ńkyɛʼ,light up
ésie,light up less
ńdyɛte,like
páʼ,like
páʼ,like
lê,like
ńkwoŋ,like
ńgwáʼa,"like, be"
ésẅé,"like, look"
ésẅéte,"like, look"
