en,ngiemboon
lefegé,interchange
lefagá,interchange
lefagá nzsè,interchange
lefegé nzsè,interchange
kɔ yɔ́ɔn áa mǒ,"interested, I’m not"
ḿvómo,interfere
tsetsoló,interior
tsɛ̀ɛ,interior
tsɛ̀ɛ wó,"interior, in"
tsoló,"interior, in"
mɔ̀g,intermittent movement
làʼaláʼ,international
tùme túm,international
gaŋá,internet
ḿbíge,interrogate
éféŋe,intersect
éfʉ́ŋe,intersect
ntyɛʼɛ́,intersection
tùme túm,intertribal
éfʉŋe,intertwine
ntɔ̀ɔn,interval
ńtág nzèm,intervene
làʼaláʼ,inter-village
ŋwa,"intestinal roundworm, giant"
ngingi,intestinal worm
letú,intestine
ntú,intestine
ńdɔgɔ púʼu,in this way
ntÿóon,intimate
shǔ lepyè,intimate
ḿbébe,intimidate
ḿvom,intimidate
tsɛ̀ɛ,into
saŋ ssé,intrigue
ńnéŋ,introduce
éshʉ́ge,introduce
