en,ngiemboon
ḿbwɔ́ʼte,"wood, break"
ńcÿɔ́b,"wood, cut"
kékɔ́ʼ metÿǒ,woodcutter
pùm peláŋ,wood-eating insect
ńjÿɔ́ʼte,"wood, faggots"
kúmo,"wood, large piece"
ndʉ̀m,"wood owl, African"
tàalɔ̀ɔn kékɔ́ʼ metÿǒ,"woodpecker, fine-spotted"
kékɔ́ʼ metÿǒ,woodpecker 
tsemé tÿó,"wood, piece"
lelàba mbâmbǎ,"woodrose, hairy"
ńcuʼ,"wood, split"
ngìle,"wood used to gather, piece"
shʉ́a,"wood, yellow"
shwòŋondíŋe,"wood, yellow"
ndù,word
legɔ̀ɔn,word
ńdáŋa le nkwáʼ,"words, be without"
éfaʼ,work
fàʼ,work
ńgwɔ́g,work
ńgú,"work, ask"
ńdʉ́me,"work, distract"
ngàŋa fàʼ,worker
ngwɔ̀gɔ,worker
fàʼa,worker
ńteŋte,work hard
ńnéŋe twó,work hard
ńdúme,"working, be"
kyɛ̀ʼɛ,"working properly, not"
ńtsɔ́ʼɔ fàʼ,"working, stop"
njÿó,world
