en,ngiemboon
ńkwɛ́,attach
ńcʉŋ,attach
ńkwɛ́ɛ pwó,attach by hand
ńdẅí,attach carefully
ńdẅíte,attach carefully
ńcú,attach lightly
ńda,attach on
ńtsẅiŋte,attack
ńtág,attack
éfaʼte,attack
ńkumte,"attacking, reach by"
lÿɔ̀g,attention
kẅé ntaŋ,attestation
nkìŋ,attic
ńkẅiŋ,"attractive, make"
ntʉ́me nò,audacious
pajúʼu,audience
jùʼu ngyá,audio-visual
njùʼu,auditor
mbÿé letuŋó,auditory canal
saŋ mbʉ̀ŋ,August
ndÿɔgɔ́,authority
ndegé,authority
ńdábte,"authorization, have"
sembǐ,available
membǐ,available
pembǐ,available
yembǐ,available
wembǐ,available
kègɔ̀ʼ,avarice
ńtág nzèm,avenge
mesẅɛ̌,avenue
nkwoŋo ffo,average
pîɛ,avocado
