en,ngiemboon
ńŋaʼ,"tall, be"
mbÿě ngem,"tamarind fruit, velvet"
ngemé,"tamarind tree, velvet"
ńdyɛ́bte,tame
nkùe,tamer
ńcúate,tap
ḿbúʼte,tap
ńcúate,tap
ngingi mágsè,tapeworm
nkwè mpfwɔ̀ʼ,tarantula
nkẅɛ̌ ndá,target
mmó ndʉŋ,target
kùntâg,tarmac
lʉ̀ŋe,"taro, bad part"
lèŋe,"taro, bad part"
pʉ́a,taro 
kwǎŋ,"taro, grated"
nɔ̀ʼ,"taro, large volume"
letèkǔʼ,taro leaf
letòkǔʼ,taro leaf
ńdiɛ,"taro, serve oneself"
ésyɛ́ʼ,taro tuber
pambè,task
ńtẅéte,"tasks, have scattered"
ngwè méshʉŋ,"tassleflower, yellow"
legǐ mefùɔ,"tassleflower, yellow"
ńzẅíʼ,taste
gyě,taste
ńtsɔ́b,taste a dish
ńdebe,"tasteless, be"
ńtsẅaga,"tasteless, be"
ńtsẅaga tsẅaga,"tasteless, be"
pyága gyé,"taste, one who loses"
nzẅìʼi,taster
