en,ngiemboon
sèsàʼ,"comb, cock’s"
latÿɔ́ʼ,combination
ńjʉa,comb lightly
ńjʉate,comb lightly
kʉ̀kÿɛ̀,comb 
kẅìge mmɔ́g,combustible
ńtó,come
ḿbiŋ,come after
mbÿè nnɛ́,comedian
gẅe megʉa,comedy
éfó,come from
ḿbiŋ,come home
ńkwɔ́ʼ,come home
ḿvɔg,come in first
ésyɛ́ʼte,come out in small droplets
éfége,come out of the mouth
nkwàʼ,comes from South Central
metsɔ̌ɔn pyé,comfort
ńkwéʼe,comfort
ntsɔ̀ɔn mezìŋe,comforter
ńdáte,"coming, be a long time"
ḿbóŋ,command
ésáʼ,command
sàʼa,commander
ésíʼi,commence
ńdiŋte,"comments, make"
kùlâŋ,common
tatÿɔ́ʼ,common bulbul
kìm ntse ntsẅɛ̀ʼɛ,common bulbul
tÿǒ mandâm,common medlar
