en,ngiemboon
shú,hoe
ńtége,hoe
nkòonte,hoe handle
pfùb,"hoe working, sound"
kúnɔ̀ɔn,hog
ndùm nɔ̀ɔn,"hog, red river"
ńjÿɔg,hoist
ńnÿɔg,hoist
ńkúʼte,hold
ńkíbe,hold
ńcʉ́ŋe,hold by the hand
nkùʼte,holder
ngẅìin,holder
ńkʉ́mte,hold in one’s arms
ńtóonte,hold up
ńtóon,hold up
mbÿé,hole
gǒon,hole
lepÿé,hole
mvwɔ̀ʼ,hole
gem,hole
njwòŋ lesyɛʼɛ́,hole in a needle
ńtɔ́gɔ,"hole in it, be"
ńzẅɛʼ,"hole, pierce"
ńzẅɛʼte,"holes, be perforated by several"
ńtsɛ́te,"holes, block up"
mencʉ̀a,"hole, small"
meshʉ̀a,"hole, small"
éshʉʼte,"holes, pierce small"
pÿé telǎŋ,hole without bottom
tɔ̀gte,holey
nzẅɛté,holiday
láʼakém,"holiday, initiation"
mbǒŋ lóŋ,holiness
gǒon,hollow
mvwɔ̀ʼ,hollow
