en,ngiemboon
yíyɛʼ,friend 
gíyɛʼ,friend 
agí,friend 
ayí,friend 
shǔ fùɔ,"friend, chief’s"
shǔ lepyè,"friend, close"
shǔ,friendship
nò shú,friendship
ḿvege,frighten
mekèle,fritter
tètɔ̀ʼ tsɔɔn,frog 
ntàsòŋ,frog 
tǒŋ,"frog, jump"
mbìmbyé ntse,frog larva
tsẅɛ́ʼ,"frog, sp."
lẅɛ̀,"frog, tree"
ndee,from
ndeen,from
tyeente,from
cʉ́ʼ,from behind
legẅi ncù,front
ńduŋ mvfò,"front, be in"
zǐ,"front, door"
fʉ̀ŋ,frontier
fʉ̀ŋe,frontier
zème,frontier
sém,frontier
mvfò,"front, in"
mvfò,"front, in"
nkwɔʼɔ́ letsẅɛ́,front of the home
ńnyíŋte,frown 
ndÿóon,"fruit bat, Straw-colored"
nkèmenàŋ,"fruit, edible red"
tsyâg,"fruit falling, sound of ripe"
ndwò,"fruit, flesh"
zẅízẅɛʼɛ́,fruit fly
