en,ngiemboon
letse,clonism
letse,clonus
ńtsɛ́,close
éfóm,close
ntÿóon,close
ńjÿɔ́ʼ,close
ńkábte,close
ńziŋe,close
ḿvwɔʼ,close
ḿmómte,close
njÿɔ̌ʼ,closed
ńjÿɔ́ʼte,close everywhere
lejʉ́ŋ,close to
ngʉ̀ŋe,close to
jÿɔ̀ʼɔ ndá,closing
kɔ̌ɔn metse,"clot, blood"
tsẅàŋ,cloth
pwó nzsó,cloth
tswàŋ,cloth
nzsǒ,cloth
nzsǒ,clothes
ńcÿo,"clothes, iron"
mòon ngékule,"clothes, k. hairy"
kàba,"clothes, maternity"
tème nkyɛ,"clothes, ready-to-wear"
cʉ̀ʼ,"clothes, second-hand"
cʉ̀ʼʉmáʼ,"clothes, second-hand"
éshÿɔ́gte,"clothes, wear"
kàba,"clothes, women’s dance"
ndàb,cloth for funerals
vùb,"clothing during walking, sound"
tsɔ̌ɔn nzsó,"clothing, piece"
ntɔ́d,"clothing, very white"
ndàb,"cloth, k. batik"
malínɔ̀ɔn,"cloth, k. black"
makúkú,"cloth, k. white"
kîɛ,"cloth ripping, cloth"
