en,ngiemboon
shwóŋò pʉa nzsekàʼa,"language, Ghomala"
shwóŋò pʉa shÿó Bɛgtùa,"language, Kako"
shwóŋò pʉa njinikom,"language, Kom"
shwóŋò ngáŋtʉɔʼ,"language, Medumba"
shwóŋò ngiembɔɔn,"language, Ngiemboon"
shwóŋè,language 
shwóŋò pʉa shÿó Mbafia,"language, Yangben"
shwóŋò Tsaŋ,"language, Yemba"
kétáʼtǔm,"lapping, waves"
lʉ́me,lapse in concentration
memǎ,large
kèkwɔ̀ʼɔ,large
máamáa,large
máa,large
melÿò,large
mbíg,large
kùkwɔ̀ʼɔ,large
éfáŋ,"large, be"
ńgaʼ,"large, be"
ńgúʼ,"large, be"
kʉ̀kÿɛ̀,larva
mbìmbyé ntse,"larva, frog"
mbí,"larva, pentatomid"
mbìmbyé ntse,"larva, toad"
nzsòte,last
nzsònzèm,last
nzsòte nzèm,last
ńtsẅé,last
ńnéŋe,last
éfɔ́ɔn,"last, at"
njÿênjÿê,lastly
zàʼa cʉ̀a,late
ńdí,"late, be"
lɔ̀ɔnte,latecomer
láʼ tá,later
pàŋ mekwaʼá,laterite
à cʉ́ʼ tsɔ́ fʉ̀ʼ,"later, see you"
