en,ngiemboon
metuŋ,indifference
mi lé mèŋ,indifferent person
sẅíʼi nzẅìŋ,"indignant, to make someone"
kàsànetíʼ,"indignation, showing"
tekúe,indomitable
ḿvfó,"infected, become"
ḿvfóte,"infected, become"
nkǐŋ,infertile
kǐŋ,infertility
ńkẅite,inflame a matter
miʼté,inflammation of the throat
éshʉge,inflate
ńtub,inflate
ńnɔɔn,inflate
ḿmúʼte,inflate
gèʼe,inflation
lepóm,inflation 
shÿéshÿɔ́g,influence
shʉ́shʉ́m,influence
shʉ́shÿɔ́g,influence
ńcʉʼte,influence
mvège,influence
ńtsẅi,inform
éfóŋ,inform
éshwóŋ,inform
nkʉ̀,information
mésáʼa kɔ́,information
mantúm,informational bulletin
mbìge,"information, one who asks for"
líɛ,information source
ńgyéte,inform behind the scene
gyà ńkyag,informer
ŋwóon ŋwóon,informing
kélɔɔn,informing
shwóŋte,informing
zémte,informing
zẅɛ́te,informing
lùm nkɔ́ɔn,ingrained
mbyě,"ingredient, essential"
ngwɔ̀ɔ,inhabitant
ntsẅè,inhabitant
