en,ngiemboon
lɔ́ɔn ndá,marriage
ńzɔ́ʼte,"married, get"
ńzɔ́ʼ,"married, get"
nzɔ̀ʼ nkàʼ,married woman with a little girl
pÿɛ̀,marrow
lǎg,marsh
ncÿɔ̀ʼɔ,marsh
mángʉm,marvel
tútú,mask
twó makùm,mask
ḿmág,mask
shÿó makùm,mask
éshu,mask
mákùm,masked person
lepwǒon ndá,masonry
mápóon tsetsáʼ,mason wasp
ńtémte,massacre
ésiŋ,massage
nzìʼi nyìŋ,master
ngàŋa pím,master of ceremonies
yáŋ,"mat, bamboo leaf"
mòon nkíle,"mat being woven, guide"
tsába,"matches, children’s"
telàa,matchless
shúm fàʼ,material
tá pà má,maternal grandfather
má pà má,maternal grandmother
kàba,maternity clothes
sɔ̀bɔ mbyɛ́ʼte,"mat, hook for weaving"
ngòon yáŋ,mat leaf
mátà,"mat, raffia"
