en,ngiemboon
sèle nzsè,diverter
leselé nzsè,diverter
ḿbag,divide
ḿbagte,divide
ńgab,divide
éshʉ́ate,divide
gàbte,divided up
éfagte,divide up
gàb,dividing up
kìm,"dividing up, part"
ngɔ̌ɔn,divination
ntsáʼ,divination tool
lelíɛ ntse,"diving beetle, predaceous"
gàbte,divisible
leshʉaté,division
mekyè,divorce
ńkÿo mekyè,divorce
tsyee,do?
ńgÿo,do
teŋàg,docile
lɔ́gtà,doctor
ngàŋa ffo,doctor
ndɔ̀gtelé,doctrine
lepuʼú ŋweʼe,document
mbuʼú ŋwèʼe,document
lelàb kénáŋ,dodder
ńdÿɔ́ʼ,dodge
ńkweente,dodge
ńtíle,dodge
ḿbeente,dodge each other
ńtséʼe,"do, eagerly"
mêngwé,dog
ńgwɔg,dog bark
gûg,"dog, bark"
