en,ngiemboon
ésẅi,insert
ésẅite,insert
ńnɔ́ge,insert oneself
tsɛ̀ɛ wó,inside
tsetsoló,inside
tsoló,inside
tsɛ̀ɛ,inside
mentsɔgɔ́,insignificant
pile,insignificant
ńkẅite,insist
ésẅíʼte,insist
mbɔ́ɔn,"insistence, shows"
ńtʉʉ twó,insist on doing
kùkwò,insolvent
ésíɛte,inspect
ésíɛ,inspect
ntsàʼa,inspector
sìɛ,inspector
sìɛ nÿɔ́g,inspector
legwɔ́ gie,instead of
lyɛ̀bte ncù,instigator
tèlepyè,instinct
nzìʼi nyìŋ,instructor
kwàlànjà,"instrument, k. dance"
nně zíŋ,"instrument, k. dance"
kẅìŋ,"instrument, k. musical"
pímte,"instrument, k. musical"
gwɔ́gɔ mbɔ̀ɔn,"instrument, k. musical"
métsàʼ,"instrument, k. musical"
shúm leluŋó,"instrument, musical"
ńtyɛ́bte,insult
ńtság,insult
nzòon,insult
ńtyɛ́b,insult
ńzoonte,insult
ńníagte,insult
zòonte,insult
ńtsyág,insult
ńtwó,insult each other
metuŋó vɔ̀g,"insult, k."
tyɛ́b,"insults, one who"
ésẅag shʉ,"insult, take revenge for an"
legye,intelligence
nzsè nò,intelligent
ńgye,"intelligent, be"
