en,ngiemboon
ndákwà,"maize and peanuts, mix"
lepuʼú pfó,"maize, ear"
ngesáŋ,maize 
ndákwà,"maize, grilled"
ndákwà,"maize, ground"
nkèndéen,"maize, ground and prepared"
paŋ ngesáŋ,"maize, sp. red"
féfɔ́gɔ ngesáŋ,"maize, sp. white"
kwòŋ,maize stalk
ngesáŋ ffòffò,maize stalk
mòon,"majestic rulers, yes"
Mbélòŋ,majesty
zaa mòon,majesty
metʉ̌a,majesty
zɔɔn mòon,majesty
Mbɛ̀ɛ,Majesty
lelÿò,majority
ńtsíŋe,make
ńnyɛte,make
ńnyɛte,make
éshʉ́te,make
ńtíʼ,make a dam
ńdeʼe,make a date
ésyɛ́ʼ,make an incision
ńdʉ́me,make do
ńkyáŋ,make do
ńdóŋte,make do
ńkyáŋte,make do
ńtate,make do
ńtyɛ́ʼte,make do
ńteŋe,make do
ńkʉte,make do
ńtabte,make do
ńgẅe,make fun of
ńnéŋe twó,make oneself
nnyɛ̀te,maker
ngÿò,maker of things
ḿbÿɛ́te,make supple
lÿɔg nnɛ́,malaria
ndúm,male
