en,ngiemboon
má we lÿò,grandmother
má pà má wɔ̀ɔn ndÿò,"grandmother, great-"
má pà má,"grandmother, maternal"
má pà tá,"grandmother, paternal"
míŋ míŋ múɔ,"grandson, great-"
kábte,grandstand
lemù,grandstand
nkáŋ nkyɛ,grandstand
ntàʼ,grant
múɔ pɔ̀ɔn,grant
ńkwɔgte,"grapes, pick off"
ńkwɔg,"grapes, pick off"
laʼá ndÿɔgɔ́,"grass, antelope"
tsǎŋ,"grass, blade"
kɔ̀ɔn ngùb,"grass, couch"
kekàʼa,"grass, elephant"
lembʉ̀le,grasshopper
fèfùʼ metyé,"grasshopper, green sp."
ŋwóon ŋwóon,grassing
shwóŋte,grassing
shùshwòŋ,"grass, kyasuma"
kekàʼa,"grass, Napier"
kekàʼa ndóŋ,"grass, saromacca"
shùshwòŋo mêngwe,"grass, sp. kaysuma"
ntsyɛʼɛ́,"grass, sp. wil"
tsǎŋ,grass stem
ńgwɔʼ,grate
ńgwɔʼte,grate
kwǎŋ,grated taro
mbɔ̀ɔn,grater
gǒon,grave
lesẅì,grave
