en,ngiemboon
nzǎmɔ̂ɔn,German
ńtsẅete,germinate
ésáʼ,germinate
ńtsẅe,germinate
ńtẅíe,gesticulate
ŋège,gesture
ḿmyɛʼte pwó,"gesture with one’s hand, make"
ḿmaʼte pwó,"gesture with one’s hand, make"
ńkẅɛ́te,get back to
shwóŋò pʉa nzsekàʼa,Ghomala language
gegÿɛ́,ghost
nkǐb púusè,giant sensitive plant
cÿó gʉm,gift
ntsɔʼɔ́ fàʼ,gift
sẅɛ̀ɛ,gift
nkendɔ́ʼ,gift
ńcÿó gʉ́m,"gift, give"
sèsàga,gigantic
máamáa,gigantic
ńnyíŋe,giggle
mpfégè,giggle
njʉ́njyà,ginger
ngwè lekwɛ́,ginseng
lelʉ̀ʼʉ twó,girder
múɔ ngùɔ,girl
múɔ manzwě,girl
mâfɔ́gɔ,"girl, albino"
máangɔ́ʼ,girlfriend
nkwɔ́ʼ,"girl, mama’s"
ńnʉʼ nkwɔʼ,"girl, pretend to be"
púɔ ngùɔ,girls
nkwàʼa,"girls, one who is always trying to pick up"
ńkẅé,give
ńná,give
ńcÿó gʉ́m,give a gift
