en,ngiemboon
ntùŋ mepfó,gravedigger
tàapfó,gravedigger
fwɔ̀ʼ mepfó,grave-digger
mbèlengàlôŋ,graveyard
ncʉ̀e,gravity
ńtẅile,graze oneself
ńtẅidte,graze oneself
ńtẅid,graze oneself
ḿpféle,"graze, put out"
lefwóon,grease
lefóon,grease
fÿɛ́ɛ nɔ̀ɔn,greased animal
maŋáʼ,great
welÿò,great
pelÿò,great
ndÿò,great
yelÿò,great
selÿò,great
nzàba,greater cane rat
ngǔʼ panzwě,great spotted cuckoo
lekwoŋ nkáb tɛʼ,greed
ndùmommóléjÿo,greedy person
gʉ̀me,green
lyága nkandi,green banana
ńgʉme,"green, be"
lyága nkàndòŋ,green plantain
nnú metÿǒ,"green snake, Angolan"
ngǔʼ,green turaco
ńtsyɛʼte,greet
ḿmíŋe,greet
tsyɛ̀ʼte,greeting
Mbélòŋ,"greeting, honorary"
mambú mbÿàg pÿág,grenadine
laale,grenadine
legwaʼá,grid
matáŋkéle,"grid, k."
