en,ngiemboon
ńdáŋ,"well, be"
lepòŋ,well-being
kwàʼ pege,we ourselves
kwàʼ peg,we ourselves
Mbyě nèm,West
júʼu féfɔ́gɔ,"West African yam, sp."
júʼu kwéʼe tÿǒ,"West African yam, sp."
pÿɛ̀,"West African yam, sp."
júʼu sẅìŋ,"West African yam, sp."
júʼu ngwá,"West African yam, sp."
júʼu zigé,"West African yam, sp."
féfɔ́gɔ ncùm,Western reef egret
ńtsabte,wet
ḿvɔɔn,"wet from dew, get"
mántsab,wet-nurse
kɔ́,what
ù wéen,what
kɛ̂,what
kee,what
oon wéen,what
ngesáŋ ntsíŋ,wheat 
ésate,wheel
kélêg,wheelbarrow
síŋe,when
ù gu gu,where
nzɔ̌,where
sɛ̌,which one?
wɛ̌,which one?
yɛ̌,which one?
sɛ̌,which ones?
mɛ̌,which ones?
pɛ̌,which ones?
yɛ̌,which ones?
tà mbà,while
ńnyeen,whine
ńnyɛʼ,whine
ńnyeente,whine
ḿvib,whip
ngwɔ̀ɔn,whip
ḿpfom,whip
ésyagte,whip
ésyɛ́ʼ,whip
ésyɛ́ʼte,whip
ńŋẅiŋe,whip
vûb,"whip, sound"
ésate,whirl
pepáŋ,whirling
pepáŋ,whirlpool
sẅî,whirlwind
pepáŋ,whirlwind
sẅèen,whirlwind
