en,ngiemboon
tÿǒ zyé nkenkáb,fig-mulberry tree
cʉ̀a nzsó,"fig, red-leaved"
tsɔɔn nzsó,"fig, red-leaved"
zyé nkenkáb,"fig, sycamore"
tÿǒ cʉ̀a nzsó,"fig tree, red-leaved"
tÿǒ tsɔ̀ɔn nzsó,"fig tree, red-leaved"
tÿǒ zyé nkenkáb,"fig tree, sycamore"
shÿó,figure
sáŋ,figure
tsétsáʼ pfòŋ,figurine
ńtsege,file
gwɔ́g,file
ńtsɛ́,fill
ńtsɛ́te,fill
ńdúe,fill
éffo,fill up
ńdẅíŋe,fill up
ńdúete,fill up oneself
ńdúete,fill up several
ḿmu,fill up 
fòbe,film
fùbe,film
ńtsiŋ,filter
ńtsye,filter
tsìŋe lekyé,"filter, ether"
fòbe,filth
fùbe,filth
lepfɛ́,"filth, pile"
sèsàʼ tsẅɛ,fimbry
lyagá,fin
éfɔ́ɔn,finally
magmag,finally
ńzsozso,finally
nzsoté,final one
ntà,financing
pàŋ ncwò,"finch, sp. red waxbill"
jʉŋé,"finch, sp. waxbill"
