en,ngiemboon
pɔ́ɔn ndè,"outfit for prominent citizens, k."
sẅɛ́ʼ ntÿɔ́ʼ,"outfit, k."
tsábte lóŋ,"outfit, k."
tsɔ́ʼ mémbàba,"outfit, k. ill-matched"
malínɔ̀ɔn,"outfit, k. mourning"
ŋwàʼ,"outfit, k. mourning"
ntsège mezàʼ,outmoded
pǐ,outside
túm,outside
ntsíŋ,outside the region
sǎsaa,outstretched
mesǎ mésaa,outstretched
ńtube,"oval, be"
ńtubte,"oval, be"
ńgéʼe nzẅìŋ,over-estimate
letsyagté,overflow
ńzyɛ́ʼ,overflow
ńtsɛte,overload
ḿbiʼ,overload
ńtɔʼ,oversee
ńkwɔ́ɔn,over sew
ńkwɔ́ɔnte,over sew
ńcʉate,overtake
ńtɔ́g,overtake
nʉ̀ mbum,oviparous
ńkɔ̌,owe
ńkɔʼɔ́,owe
ndʉ̀m,"owl, African wood"
ndʉ̀m,"owl, barn"
kwɔ̀gkû,owl hooting
gẅílílíd,owl hooting
kɔ́ɔn méshʉŋ,"owl, long-eared"
gẅílíd,"owl, long-eared"
pfòŋ,"owl, long-eared"
ngẅìin,owner
ŋwɛ́,owner
ngàŋ,owner
máŋwɛ,"owner, legitimate"
fɔ́gɔ̀ ncùm,"oxpecker, yellow-billed"
