en,ngiemboon
ńtsáase,examine
ḿmwoonte,examine
ntsàʼa,examiner
ńtɔ́ɔnte,"exam, take"
zɔɔn múɔ,"Excellency, Your"
ńdíndaʼ,except
éséen,excessively
nâb,excessively
mbéláŋ,excessively
ńkúbe,exchange
ḿbʉ́ʼte,excite
ḿbímte,excite
ḿbʉ́ʼ,excite
ḿmɔɔn,exclaim
ḿbeʼte,exclude
fòme,excrement
pwɔ́ʼɔ zɛ́,excrement
fème,excrement
zɛ́,excrement
ndilétáŋ,excuse
tà ɔ̀ɔn,excuse
mbɔ́ɔn,excuse me
shúshu,excuse me
shúshu,excuse me
tsétsɔʼ,excuse me
foffò,executioner
fèffò,executioner
kùmnzsè,executioner
nùŋe,exhibitor
kÿò láʼ,exiled person
ńgwɔ́ wó,exist
legwɔ́,existence
ngwɔ̀ɔ,existing person
lekẅɛ̀,exit
tɔgɔ ndá,"exit, emergency"
kẅíŋe,"exit, emergency"
shʉ̀a,"exoteric circle, k."
ngě nÿɔ́g,exotropia
ngě nÿɔ́g,"exotropia, person with"
ḿbeʼte,expel
