en,ngiemboon
cʉ̀ʼ,second-hand clothes
cʉ̀ʼʉmáʼ,second-hand clothes
kèlekàʼ,second-hand 
shútè shuté,secret
ndèʼe ntsem,secretary
ndá ntsem,secretary’s office
ntyèen,secret compartment
ndÿoon lÿoon,secretly
kùmnzsè,secret society
kùkwò,"secret society, k."
kɔ̀ɔn,"secret society, k."
kùʼngàŋ,"secret society, k."
fàg nnɛ́,sect
sèsàʼ kwɔb,"sedge, rusty"
ngʉngʉ́ŋ,"sedge, sp. flowering"
ńgyá,see
mbyè,seed
ngẅɛ̀,seed
mvòm,seed
mbyè mekú,"seed, bean"
mekú koké,"seed, black-eyed pea"
mekú múɔ láʼ,"seed, black-eyed pea"
mekú gwág,"seed, black-eyed pea"
mekú koké,"seed, cowpea"
mekú múɔ láʼ,"seed, cowpea"
mekú gwág,"seed, cowpea"
paŋa jʉŋé,"seed cracker, crimson"
sî,seedling
pyè,"seedling, young"
kúb,"seed, raffia"
sî,seed tray
mbyè metÿǒ,"seed, tree"
ndù,"seed, yam"
ńgwáʼa,seem
